year,city,avg_temp
1743,Boston,1.19
1744,Boston,9.63
1745,Boston,-1.37
1746,Boston,
1747,Boston,
1748,Boston,
1749,Boston,
1750,Boston,7.88
1751,Boston,8.60
1752,Boston,0.36
1753,Boston,7.35
1754,Boston,7.75
1755,Boston,4.28
1756,Boston,7.76
1757,Boston,6.65
1758,Boston,6.09
1759,Boston,6.80
1760,Boston,5.53
1761,Boston,8.05
1762,Boston,7.42
1763,Boston,4.99
1764,Boston,7.36
1765,Boston,6.73
1766,Boston,7.96
1767,Boston,6.28
1768,Boston,6.74
1769,Boston,6.94
1770,Boston,6.99
1771,Boston,7.72
1772,Boston,7.44
1773,Boston,7.97
1774,Boston,7.35
1775,Boston,8.08
1776,Boston,6.83
1777,Boston,6.56
1778,Boston,4.75
1779,Boston,-2.31
1780,Boston,
1781,Boston,7.61
1782,Boston,6.98
1783,Boston,6.64
1784,Boston,6.24
1785,Boston,6.32
1786,Boston,6.81
1787,Boston,6.81
1788,Boston,7.60
1789,Boston,7.25
1790,Boston,7.22
1791,Boston,7.11
1792,Boston,6.47
1793,Boston,7.81
1794,Boston,7.76
1795,Boston,7.02
1796,Boston,6.82
1797,Boston,6.70
1798,Boston,7.37
1799,Boston,6.85
1800,Boston,7.59
1801,Boston,8.01
1802,Boston,8.24
1803,Boston,7.81
1804,Boston,7.43
1805,Boston,8.26
1806,Boston,7.05
1807,Boston,6.89
1808,Boston,7.31
1809,Boston,6.57
1810,Boston,7.24
1811,Boston,7.43
1812,Boston,5.48
1813,Boston,6.61
1814,Boston,6.36
1815,Boston,6.13
1816,Boston,5.83
1817,Boston,5.57
1818,Boston,5.91
1819,Boston,6.99
1820,Boston,6.80
1821,Boston,6.52
1822,Boston,7.37
1823,Boston,6.26
1824,Boston,7.04
1825,Boston,8.00
1826,Boston,7.84
1827,Boston,6.96
1828,Boston,8.45
1829,Boston,6.74
1830,Boston,7.72
1831,Boston,7.15
1832,Boston,6.67
1833,Boston,6.76
1834,Boston,6.91
1835,Boston,5.97
1836,Boston,5.28
1837,Boston,5.59
1838,Boston,6.36
1839,Boston,6.95
1840,Boston,6.98
1841,Boston,6.83
1842,Boston,6.93
1843,Boston,6.30
1844,Boston,6.57
1845,Boston,7.01
1846,Boston,7.37
1847,Boston,7.12
1848,Boston,7.06
1849,Boston,6.58
1850,Boston,6.72
1851,Boston,6.61
1852,Boston,6.69
1853,Boston,7.12
1854,Boston,6.95
1855,Boston,6.92
1856,Boston,5.92
1857,Boston,6.64
1858,Boston,6.56
1859,Boston,6.57
1860,Boston,6.90
1861,Boston,7.04
1862,Boston,6.77
1863,Boston,6.92
1864,Boston,7.14
1865,Boston,7.49
1866,Boston,6.77
1867,Boston,6.42
1868,Boston,5.89
1869,Boston,6.68
1870,Boston,7.91
1871,Boston,6.63
1872,Boston,6.41
1873,Boston,6.00
1874,Boston,6.47
1875,Boston,5.28
1876,Boston,6.83
1877,Boston,7.79
1878,Boston,8.01
1879,Boston,6.85
